likes,body,time
77,"Почему башкиры и татары легко понимают друг друга и что заставляет башкир учить родной язык во взрослом возрасте? Об еще одном агглютинативном языке с очень длинными словами рассказывает Айгуль Рашитова, филолог и организатор клуба башкирского языка в Уфе.

Это 19-й ролик проекта «Языки России», который посвящен 50 самым распространенным в России языкам. Проект создан при содействии АНО «Институт развития интернета»",1601099820
56,"Усилия китайской космической программы позволили человечеству совершить очередной маленький шаг на пути к освоению Луны. Ученые из Китая и Германии обработали данные дозиметрического эксперимента миссии «Чанъэ-4» и впервые в истории представили разрешенные во времени измерения радиационного фона на поверхности спутника. По результатам расчетов эквивалентная доза излучения примерно в 200 раз превысила аналогичный показатель для Земли и приблизительно в 1,9 раза — величину дозы на МКС

https://nplus1.ru/news/2020/09/25/chang-e-dosimetry",1601060485
113,"Природа настолько очистилась, что… С начала года мы часто слышали эту фразу и перестали воспринимать ее всерьез. Тем не менее, некоторым видам карантин все-таки пошел на пользу. Например, благодаря коронавирусным ограничениям в Сан-Франциско и его окрестностях стало намного тише, так что весной 2020 года местным птицам не пришлось перекрикивать городской шум ради привлечения партнеров. В результате самцы белоголовых зонотрихий снизили амплитуду своих песен и стали использовать более широкий спектр частот. По мнению авторов, это позволило им тратить меньше энергии и сделало более привлекательными для самок

https://nplus1.ru/news/2020/09/25/covid-bird-songs",1601057463
22,"Физики исследовали явления, лежащие в основе генерации излучения двухуровневой системой. Они экспериментально показали, что антигруппировка фотонов, которые генерирует квантовая точка, связана с некогерентной составляющей излучения и выявили составляющие, которые делают антигруппировку возможной при разных мощностях накачки. Авторы планируют обобщить результаты исследования на другие однофотонные источники

https://nplus1.ru/news/2020/09/25/antibunching-and-squeezing",1601054079
26,"Команда межпланетной станции OSIRIS-REx опубликовала описание первой попытки забора грунта с околоземного астероида Бенну, намеченной на 20 октября. До и после процедуры станция покрутится вокруг собственной оси, что поможет определить, сколько именно она собрала грунта. Если его окажется слишком мало, то OSIRIS-REx будет вынужден еще раз сблизиться с астероидом

https://nplus1.ru/news/2020/09/25/osiris-rex-sample-instruction",1601051030
52,"В последние несколько лет исследователи довольно успешно используют алгоритмы обработки естественного языка, чтобы рассказать что-то о говорящем: так, по речи, например, можно автоматически диагностировать депрессию и шизофрению. Сейчас американским исследователям удалось научить алгоритм предсказывать чувство одиночества у пожилых людей: разработанная система на основе небольших интервью предсказывает одиночество с точностью до 94 процентов

https://nplus1.ru/news/2020/09/25/ibm-loneliness",1601048013
66,"Зубатые киты клюворылы — ныряльщики-рекордсмены. По данным зоологов, они могут погружаться на глубину до трех километров и проводить без кислорода до 138 минут. Однако новые данные, полученные американскими учеными, еще более удивительны. Как показали результаты мечения 26 клюворылов, некоторые из них могут оставаться под водой 222 минуты. Авторы полагают, что такая выносливость связана с особым строением мышц и способностью замедлять метаболизм

https://nplus1.ru/news/2020/09/25/beaked-whale",1601045007
9,"Конкурс «Наука дома» стартовал с Пифагора! Видео о том, как доказать теорему с помощью ножниц, уже на сайте
 
https://engageru.3mrussia.ru/scienceathome
 
Посмотрите видео, снимите свои доказательства, выложите полученный ролик в сеть с хештегом #Наукадома и попробуйте выиграть ноутбук.
 
Всего в конкурсе — 14 видео-экспериментов. Участники по примеру учёных могут выполнить их все или же выбрать и исполнить любой понравившийся опыт. Больше видео-опытов — больше шансов на победу!
 
Принять участие: https://engageru.3mrussia.ru/scienceathome 

#промо",1601042004
110,"Ученые обнаружили в средневековом арабском тексте о металлургии упоминание неизвестного ингредиента «русахтадж». Буквально это значит «обожженный». Им пришлось отправиться в Иран, чтобы выяснить, что это могло значить. Они обнаружили древний металлургический центр, где в XI веке использовали технологии, которые, как считалось до этого, были открыты только на рубеже XIX–XX веков

https://nplus1.ru/news/2020/09/25/chrome-steel",1601038998
56,"Amazon показала много новых устройств для умного дома, в том числе колонки Echo с быстрым локальным распознаванием речи, умный экран, поворачивающийся за человеком, и домашний дрон с камерой. Он летает по дому и транслирует происходящее на смартфон, а когда пришло время зарядиться, сам приземляется на док-станцию

https://nplus1.ru/news/2020/09/25/amazon",1601036046
