likes,body,time
57,"Автомобильное издание «Авторевю» заинтересовала машина курьера Сергея Захарова, погибшего в аварии с Михаилом Ефремовым. Журналисты осмотрели ее и пришли к выводу, что Захаров не был пристегнут — хотя судмедэксперт утверждала обратное. Они провели краш-тест и предположили, что шансов выжить у водителя фургона Lada Granta практически не было. Мы расспросили «Авторевю» о результатах их исследования",1601169697
76,"Сейчас расскажем, что делать с этой осенней напастью",1601166097
101,"У документалиста из Израиля Влади Антоневича, автора фильма о русских неонацистах «Кредит на убийство», есть своя версия гибели Максима «Тесака» Марцинкевича. 

Четыре года назад он заявил о причастности Тесака к жестокому двойному убийству — видеозапись этого преступления русские неонацисты опубликовали в 2007-м под названием «Казнь таджика и дага». 

Спецкор «Медузы» Максим Солопов поговорил с Антоневичем о том, как режиссер пришел к своим выводам, а также о том, как это может быть связано с президентскими выборами 2008 года.",1601162497
141,26 сентября отмечается Всемирный день контрацепции. Есть повод вспомнить одну нашу полезнейшую инструкцию,1601158897
172,"«Яндекс» собирается купить «Тинькофф банк» за 5,5 миллиарда долларов. Это, возможно, главная российская сделка года. Зачем она Олегу Тинькову? А «Яндексу»? А откуда у покупателя деньги? И чего теперь ждать клиентам банка и пользователям сервисов «Яндекса»?

Отвечаем на все вопросы",1601155297
66,"Главный подозреваемый во вчерашнем нападении возле бывшей редакции французского сатирического журнала Charlie Hebdo — 18-летний выходец из Пакистана. Он заявил, что хотел отомстить за карикатуры на пророка Мухаммеда, которые Charlie Hebdo опубликовал в 2015 году (из-за них в редакции журнала произошел теракт) и снова напечатал недавно (из-за начала суда по делу о теракте).",1601151697
110,"При крушении самолета Ан-26 под Харьковом выжил один человек (из 27, находившихся на борту). Вот что он помнит о катастрофе",1601149297
38,23 сентября в России стартовали продажи умных часов Apple Watch Series 6. Журналист «Медузы» Максим Иванов получил тестовый образец раньше и рассказывает о недельном опыте использования часов.,1601146897
170,"Эксперты Высшей школы экономики оценили, насколько пандемия сократила российский средний класс",1601144497
66,Незарегистрированная партия «Другая Россия» объявила о самороспуске. Вместо нее последователи Эдуарда Лимонова создадут новую партию под названием «Другая Россия Э. В. Лимонова».,1601142097
46,"Ребенок отказывается идти в школу, а заставлять его уже надоело? А что если перевести его на домашнее обучение? В финале сезона нашего честного подкаста о материнстве «Ты же мать» говорим с мамой, которая разрешила своему сыну учиться дома (и не пожалела об этом!).",1601139697
218,"В 1964 году в Польшу приехал Джеймс Альберт Бонд — за ним немедленно установили слежку из-за подозрений в шпионаже. Его вдова утверждает, что Бонд действительно работал на спецслужбы. К этому моменту вышло уже 11 книг и два фильма об агенте 007!",1601137736
16,"Если вы все еще не установили наше новое приложение, самое время сделать это!

Что в нем есть:
 
➤ Три ленты: 🔸основной поток новостей и статей; 🔸лента подкастов, 🔸вкладка «Гипноз», где можно залипнуть, если дочитали основную ленту до конца. 
 
➤ Улучшенные закладки. Если сохранить статью на одном телефоне, она появится и на другом (ну, или на планшете)
 
➤ Конструктор сториз, где можно сделать красивую картинку с кусочком текста и сразу расшарить в инстаграме

Чего в нем нет:

➤ Ботов

— Версия для айфонов и айпадов: https://mdza.io/jTVPVpHqgF8 
 
— Версия для Android: https://mdza.io/HFRM4ny5IRU",1601136240
113,"Сегодня в Минске прошла очередная женская акция протеста. На ней, по данным правозащитников, задержали не меньше 70 человек",1601135335
85,Проект «ОВД-Инфо» сообщил о первом уголовном деле против участника акций в поддержку бывшего губернатора Хабаровского края Сергея Фургала,1601135247
69,Единственый выпуск рассылки «Вечерний Долин». https://meduza.io/brief/2020/09/26/vecherniy-dolin,1601133521
